,loss,accuracy,val_loss,val_accuracy,lr
0,2.7043659687042236,0.03515625,2.764997959136963,0.03125,9.999999747378752e-06
1,2.4730701446533203,0.080078125,2.4709434509277344,0.125,1.5999999959603883e-05
2,2.205134153366089,0.224609375,2.0768625736236572,0.25,2.2000000171829015e-05
3,1.7663862705230713,0.51171875,1.660112977027893,0.453125,2.8000000384054147e-05
4,1.3561551570892334,0.6796875,1.2880746126174927,0.609375,3.400000059627928e-05
5,1.167895793914795,0.6875,1.0333410501480103,0.734375,3.9999998989515007e-05
6,1.0551984310150146,0.732421875,0.967207133769989,0.78125,4.600000102072954e-05
7,0.9739928245544434,0.703125,0.8132176399230957,0.828125,5.199999941396527e-05
8,0.8527358770370483,0.763671875,0.8058639764785767,0.828125,5.8000001445179805e-05
9,0.849328875541687,0.732421875,0.6944672465324402,0.875,6.399999983841553e-05
10,0.7326710224151611,0.80859375,0.7252343893051147,0.828125,7.000000186963007e-05
11,0.7155395746231079,0.7890625,0.6999200582504272,0.84375,7.599999662488699e-05
12,0.824626088142395,0.751953125,0.7094694972038269,0.828125,8.199999865610152e-05
13,0.7523062825202942,0.78515625,0.5199368000030518,0.875,8.800000068731606e-05
14,0.614333987236023,0.818359375,0.485271155834198,0.90625,9.40000027185306e-05
15,0.5823043584823608,0.830078125,0.570296049118042,0.859375,9.999999747378752e-05
16,0.6278421878814697,0.81640625,0.5237888693809509,0.890625,9.999999747378752e-05
17,0.6272433996200562,0.80859375,0.5310630202293396,0.84375,9.999999747378752e-05
18,0.5390662550926208,0.83984375,0.5308455228805542,0.84375,9.999999747378752e-05
